movie_name,ranking,score,score_num
撞车,164,8.6,170076人评价
一次别离,165,8.7,128245人评价
小森林 冬春篇,166,8.9,105787人评价
时空恋旅人,167,8.6,189433人评价
罗生门,168,8.7,120040人评价
心迷宫,169,8.6,152425人评价
唐伯虎点秋香,170,8.4,309106人评价
超能陆战队,171,8.6,353778人评价
蝙蝠侠：黑暗骑士崛起,172,8.5,285211人评价
战争之王,173,8.5,169763人评价
可可西里,174,8.6,124819人评价
梦之安魂曲,175,8.7,108491人评价
地球上的星星,176,8.8,80919人评价
碧海蓝天,177,8.7,105935人评价
秒速5厘米,178,8.3,284038人评价
未麻的部屋,179,8.8,90867人评价
恐怖游轮,180,8.3,307698人评价
爆裂鼓手,181,8.6,227346人评价
谍影重重2,182,8.5,153886人评价
谍影重重,183,8.5,185618人评价
阿飞正传,184,8.5,173640人评价
达拉斯买家俱乐部,185,8.6,161640人评价
海盗电台,186,8.6,161611人评价
牯岭街少年杀人事件,187,8.7,101974人评价
惊魂记,188,8.8,79184人评价
魔女宅急便,189,8.4,186418人评价
再次出发之纽约遇见你,190,8.5,159762人评价
被解救的姜戈,191,8.5,250662人评价
绿里奇迹,192,8.7,102522人评价
东京物语,193,9.2,48317人评价
勇闯夺命岛,194,8.5,137527人评价
迁徙的鸟,195,9.1,50612人评价
末路狂花,196,8.7,100318人评价
荒野生存,197,8.6,122814人评价
卡萨布兰卡,198,8.6,120200人评价
青蛇,199,8.4,210964人评价
终结者2：审判日,200,8.5,135754人评价
哪吒闹海,201,8.8,76326人评价
忠犬八公物语,202,9.0,54304人评价
这个男人来自地球,203,8.5,171144人评价
变脸,204,8.4,206762人评价
燕尾蝶,205,8.6,105223人评价
源代码,206,8.3,394509人评价
英国病人,207,8.4,169053人评价
新龙门客栈,208,8.4,175359人评价
E.T. 外星人,209,8.5,146783人评价
黄金三镖客,210,9.1,49210人评价
黑客帝国3：矩阵革命,211,8.5,148654人评价
发条橙,212,8.4,179777人评价
城市之光,213,9.2,41325人评价
美国丽人,214,8.4,178047人评价
叫我第一名,215,8.6,104952人评价
无耻混蛋,216,8.4,215185人评价
穆赫兰道,217,8.3,225916人评价
非常嫌疑犯,218,8.6,111543人评价
初恋这件小事,219,8.3,440030人评价
勇士,220,8.9,84588人评价
模仿游戏,221,8.5,242137人评价
上帝也疯狂,222,8.6,92585人评价
蓝色大门,223,8.3,265499人评价
爱·回家,224,9.0,45525人评价
无敌破坏王,225,8.6,177585人评价
爱在午夜降临前,226,8.8,109400人评价
血钻,227,8.5,124489人评价
大卫·戈尔的一生,228,8.7,86345人评价
国王的演讲,229,8.3,324715人评价
枪火,230,8.6,94911人评价
房间,231,8.8,139706人评价
疯狂的石头,232,8.2,297129人评价
曾经,233,8.3,196651人评价
麦兜故事,234,8.5,122889人评价
暖暖内含光,235,8.4,138961人评价
遗愿清单,236,8.5,120613人评价
千钧一发,237,8.7,80587人评价
头脑特工队,238,8.7,209261人评价
蝴蝶,239,8.6,92624人评价
荒岛余生,240,8.5,126675人评价
巴黎淘气帮,241,8.6,101787人评价
与狼共舞,242,8.9,54249人评价
月球,243,8.5,137386人评价
偷拐抢骗,244,8.5,111862人评价
我爱你,245,9.0,52943人评价
彗星来的那一夜,246,8.4,161157人评价
夜访吸血鬼,247,8.3,190696人评价
步履不停,248,8.8,61421人评价
寿司之神,249,8.8,78499人评价
廊桥遗梦,250,8.6,94167人评价
